No,Year,Month,Day,Minutes,Seconds,Largest Magnitude
210,2023,3,10,28,14.2,4.9
211,2023,3,9,34,15.4,4.0
212,2023,3,9,8,32.6,3.5
213,2023,3,9,8,47.5,4.0
214,2023,3,9,55,26.4,4.6
215,2023,3,9,9,32.1,3.6
216,2023,3,9,28,53.6,4.2
217,2023,3,9,58,22.9,3.5
218,2023,3,8,44,3.9,3.8
219,2023,3,8,51,59.8,3.8
220,2023,3,8,30,19.0,3.6
221,2023,3,8,26,27.8,3.6
222,2023,3,7,18,17.5,3.8
223,2023,3,7,55,38.1,3.9
224,2023,3,7,18,19.5,4.5
225,2023,3,7,15,54.5,3.8
226,2023,3,7,53,38.5,4.2
227,2023,3,7,47,26.6,4.8
228,2023,3,7,30,54.4,3.8
229,2023,3,7,13,49.8,3.8
230,2023,3,7,40,10.2,4.5
231,2023,3,7,36,29.5,3.8
232,2023,3,7,40,1.9,3.8
233,2023,3,6,14,56.7,4.0
234,2023,3,6,52,54.1,3.5
235,2023,3,6,3,23.3,4.2
236,2023,3,6,42,6.5,4.0
237,2023,3,6,2,56.8,4.2
238,2023,3,6,14,16.3,3.5
239,2023,3,6,27,27.1,3.7
240,2023,3,6,51,7.4,4.0
241,2023,3,6,57,33.4,4.1
242,2023,3,6,13,55.9,3.5
243,2023,3,6,16,2.8,3.6
244,2023,3,5,24,3.5,3.5
245,2023,3,5,50,12.7,3.8
246,2023,3,5,49,45.3,4.8
247,2023,3,5,7,14.5,3.6
248,2023,3,5,19,18.9,3.6
249,2023,3,5,8,7.9,3.8
250,2023,3,5,11,19.1,3.9
251,2023,3,4,59,40.6,4.0
252,2023,3,4,54,26.5,3.5
253,2023,3,4,53,29.6,3.6
254,2023,3,4,26,24.4,3.9
255,2023,3,4,27,33.7,4.4
256,2023,3,4,3,40.4,4.0
257,2023,3,4,20,9.1,4.1
258,2023,3,3,30,45.7,3.5
259,2023,3,3,17,55.0,3.5
260,2023,3,3,18,40.7,3.6
261,2023,3,3,4,21.4,3.6
262,2023,3,3,4,21.3,3.9
263,2023,3,3,44,15.4,3.9
264,2023,3,3,39,45.8,4.0
265,2023,3,3,4,55.5,3.5
266,2023,3,3,53,41.6,5.1
267,2023,3,2,16,43.1,3.8
268,2023,3,2,35,53.0,3.8
269,2023,3,2,18,46.7,3.8
270,2023,3,2,16,10.2,3.8
271,2023,3,1,52,13.4,3.8
272,2023,3,1,4,13.8,3.5
273,2023,3,1,37,59.4,4.2
274,2023,3,1,6,56.6,3.6
275,2023,3,1,52,35.6,4.1
276,2023,3,1,20,21.7,4.8
277,2023,3,1,15,30.3,4.1
278,2023,3,1,23,20.6,4.1
279,2023,2,28,32,10.6,3.9
280,2023,2,28,17,44.2,3.6
281,2023,2,28,51,44.0,3.8
282,2023,2,28,59,9.5,4.0
283,2023,2,28,52,9.8,3.8
284,2023,2,28,16,38.0,4.5
285,2023,2,28,49,15.1,4.0
286,2023,2,28,39,53.0,4.6
287,2023,2,28,42,15.1,4.1
288,2023,2,28,23,37.2,3.7
289,2023,2,28,38,13.3,3.9
290,2023,2,28,29,15.5,3.7
291,2023,2,28,18,57.4,4.1
292,2023,2,27,12,0.1,3.9
293,2023,2,27,22,21.2,4.2
294,2023,2,27,16,45.7,4.1
295,2023,2,27,32,27.4,3.8
296,2023,2,27,52,26.7,3.9
297,2023,2,27,43,55.3,3.6
298,2023,2,27,4,49.9,5.5
299,2023,2,27,19,46.2,4.4
300,2023,2,27,47,47.0,3.6
301,2023,2,27,51,20.1,5.1
302,2023,2,26,33,13.9,3.9
303,2023,2,26,13,12.9,3.5
304,2023,2,26,32,1.4,3.5
305,2023,2,26,16,48.0,3.6
306,2023,2,26,29,22.7,3.7
307,2023,2,26,21,57.1,3.9
308,2023,2,26,37,39.0,3.9
309,2023,2,26,26,29.6,4.3
310,2023,2,25,30,30.4,4.0
311,2023,2,25,51,50.0,3.6
312,2023,2,25,35,21.5,3.9
313,2023,2,25,41,12.8,4.6
314,2023,2,25,48,17.5,3.5
315,2023,2,25,27,8.9,5.3
316,2023,2,25,58,39.0,4.2
317,2023,2,25,57,37.6,3.5
318,2023,2,25,12,18.3,4.0
319,2023,2,25,50,50.1,3.8
320,2023,2,25,28,9.8,4.4
321,2023,2,25,9,39.8,3.9
322,2023,2,24,25,25.0,4.3
323,2023,2,24,31,10.0,3.6
324,2023,2,24,37,5.4,4.0
325,2023,2,24,25,27.5,4.8
326,2023,2,24,10,43.9,4.1
327,2023,2,24,37,50.6,3.5
328,2023,2,24,19,58.0,4.7
329,2023,2,24,2,59.6,3.9
330,2023,2,24,1,58.5,4.5
331,2023,2,24,56,31.7,3.7
332,2023,2,24,5,17.8,3.7
333,2023,2,24,17,46.3,3.6
334,2023,2,24,46,16.8,4.0
335,2023,2,23,1,11.3,3.9
336,2023,2,23,8,10.1,3.7
337,2023,2,23,26,14.1,3.7
338,2023,2,23,53,53.8,3.6
339,2023,2,23,52,38.4,4.1
